,address,nbtoken,NumNFT,FirstTimeOwner,FirstTokenName,FirstTokenSymbol,nb_token
0,0xFCFa06ABbe758fc06Aab849025C19E4Dbb65BA3D,,1,True,Piano King NFT,PK,1.0
0,0xcadaA91596F3E2aFA69a37F47a5C70a4e3765c00,,226,False,DeFi of Thrones,DoTxNFT,10.0
0,0xD0125Abb8517f2E60409D01835C94851e52eD17d,,2,False,RADSANTAS,SNTA,1.0
0,0x766a6923A62d062fa6Da59f91d9b669A85bc7B15,,2497,False,Misfit University Official,MU,5.0
0,0x8143de36900A0EA013D4Ca9f5Cab1EcDB9eCC026,,3,True,Piano King NFT,PK,3.0
0,0xa6fa33116FbE7770CB4c98F1654391E579274086,,3,True,Piano King NFT,PK,1.0
0,0x8A5d413D9929E193610a8E9C3B7e39d19872852E,,2,True,Piano King NFT,PK,2.0
0,0x9B16d1CA693577D51327c7E6a1D9A7c87455Da2d,,7,False,Ethereum Name Service,ENS,3.0
0,0x9Ea34736C6463e475Ab52E13bB78a42f7De9f288,,5,False,The Moon Boyz,MOONBOYZ,2.0
0,0x1D29102B5Cc6cE9e3f18ec44c9c9b24d6982649D,,4,True,Piano King NFT,PK,4.0
0,0xDb2Da59249B1d477E6CAc4A97C6D40fFcde52960,,4,True,Piano King NFT,PK,4.0
0,0xF8907570782C0eF24113114C153a76440705805A,,24,False,ANTIPODE// Open Edition by Zedd x Fvckrender,ANTIPODEOPENEDITIONBYZEDDXFVCKRENDER,1.0
0,0x39919Ec5eca78d504E2540426f78c0c994430d3c,,2,False,M101Shelter,M101Shelter,1.0
0,0x6391ef8Bf7A7bF18313E1a6679a7A191790278CC,,1,True,Piano King NFT,PK,1.0
0,0x8B288FBe2E2cD056975e2E55Bc2C01BA68D1c790,,22,False,MoonPass,MOONPASS,1.0
0,0xf7F65EB69FFc0D1Dc01535C09834350AB34dc466,,2,False,The Moon Boyz,MOONBOYZ,1.0
0,0x938fB35fa59619fE048dc2210BA32538BacbB9B7,,3,True,Piano King NFT,PK,1.0
0,0xC08eF180067011dB62a469BAC2e5E1a2C1F6F428,,5,False,WhattyClub,WHATTY,1.0
0,0xf408EE123dB4F0F55717705598E45c7801375FB5,,4,True,Piano King NFT,PK,2.0
0,0xC242ea1562C1B770c2b1DF119161174D86CF0CC5,,4,True,Piano King NFT,PK,4.0
0,0xCB50FFa2e4D33dDa408c3e81E5916DC88a22E1CF,,1,True,Piano King NFT,PK,1.0
0,0x82DF6f36d904E6a7Bce8574392cc1089C291bB77,,1,True,Piano King NFT,PK,1.0
0,0xe22dc3a3ac93069c9dc1f269E8ccd2Ee08c746E1,,3,True,Piano King NFT,PK,3.0
0,0xB9fB1A7a811990fF4184C9135C569B0e6BF39fFc,,1,True,Piano King NFT,PK,1.0
0,0xAde6f65084B09be6f9F9DddCfc941DE8Ed9B47BB,,9,False,10KTF,10KTF,2.0
0,0xD8f2E25Ba4eC83f7CcaF0D6B29c66f5cDCA39333,,1,True,Piano King NFT,PK,1.0
0,0x07de81869bA0766441aA770Ba456B770512e0650,,14,False,Art Blocks,BLOCKS,1.0
0,0x469Acf4EfA137315382337b7e3d2BA82F87616d1,,1,True,Piano King NFT,PK,1.0
0,0x7c6E0a56DdA839C10B00B34bBaAC263b6FB750fE,,1,True,Piano King NFT,PK,1.0
0,0x423f49167d7e4F3f04242ca560b206dC22Ce96e5,,3,True,Piano King NFT,PK,3.0
0,0x74bc304552197C498d36FB0B73EC8fD8b372C792,,1,True,Piano King NFT,PK,1.0
0,0xA11863332BC9c46477f76B4fFC0b67C9B0Eab201,,1,True,Piano King NFT,PK,1.0
0,0x1583E30af0EAeDCD798C8C860444eeFc62576eaF,,24,True,Piano King NFT,PK,5.0
0,0x9503f08eBD7D4399E45F56e1E6EC1c99A58F1EA2,,4,False,MekaVerse,MEKA,1.0
0,0x2FE7d0d460f729ED0E91A69fdFFD3F9fEf831397,,191,False,CryptoKitties,CK,4.0
0,0xEdb88D552f8E0379d588d36AA822cE1A60D9f372,,1,True,Piano King NFT,PK,1.0
0,0xE113381B352A68F07c7eFB98A61d5c188fF3a75E,,21,False,Blockchain Miners Club,BMC,1.0
0,0x8d6c63cCD2F6d156d8d57845c20822eF245b0A7E,,3,False,MethodNFT,MTHDNFT,1.0
0,0x679506C4053214d54AaF718dc4A853d015738466,,2,True,Piano King NFT,PK,1.0
